CCL20,DUSP1,FDPS,MYO9B,PSEN2,BMP2,CD44,POLR2C,ATF5,IL6,FZD1,PGM1,B4GALT1,KLF4,NDRG1,ENO3,TMED2,ISG20,CCL2,ACTG1,ADIPOR2,HEY1,SERPINE1,HSPA5,TRIB3,SLC2A3,TOP2A,RFC4,SLC19A1,SERPINE1,F3,MT2A,NSDHL,CASP7,MXI1,CAT,TNFSF9,GCH1,PDLIM5,TNFRSF21,CDC27,CLU,NFIL3,FDXR,SMARCC1,CCL5,CCNB2,LIF,EDN2,LMO2
CXCL3,F3,CYP51A1,TUBGCP3,FZD1,CDKN1C,IFNGR2,POLR2K,KIF11,TNF,CUL1,CCNG2,CCND1,CCND1,TPD52,GAA,IGF2R,PLSCR1,RIPK2,GNAI1,ADAM10,CNTFR,CCL5,KIF5B,NCK1,PGK1,SMC3,IMPDH2,MYBBP1A,CXCL6,IL6,GCNT2,HSD17B7,BAX,P4HA1,NQO1,GADD45A,SQSTM1,CITED2,TIMP1,ARHGEF12,LGMN,CD44,LIPE,TSPO,IFNGR2,BUB1,CXCL10,PKP1,ABCC8
MAFF,SDC4,IDI1,CKAP5,NOTCH4,CTNNB1,IRF1,GTF2H3,KIF23,GCH1,KAT2A,ANGPTL4,IL6ST,IL6ST,AKAP12,PPP1R3C,SOD1,IL4R,CXCL10,NF1,IL2RB,PML,KYNU,GEMIN4,TIAM1,PDK1,ESPL1,TYMS,RRP12,CD44,NFKB1,CASP6,ECH1,RETSAT,P4HA2,PRNP,PLK2,BTG3,VLDLR,LUM,EPB41,CD9,MYC,IDH1,BCL10,IL18,STAM2,TRIB1,SYNPO,MAFB
NFKB2,IL6,FDFT1,RACGAP1,LEF1,SPTBN1,CXCL11,POLR2D,RACGAP1,CFLAR,PPARD,PLIN2,HES1,ISG20,IDI1,DTNA,KRT18,IRF9,SOCS3,TSC1,THY1,TLE3,IRF1,NOLC1,CDK1,GBE1,CENPE,DUT,SORD,INHBA,LIF,FBP1,FASN,VDAC2,ENO1,LSP1,BTG1,BTG1,CAV1,PTK2,SDCBP,GSN,TNFRSF9,SCP2,RETSAT,CSF1,RFC4,INHBA,SKIL,HNF1A
TNFAIP2,BHLHE40,DHCR7,PREX1,AXIN1,APC,CSF1,ERCC3,NUMA1,GADD45A,RBX1,SCARB1,SLC2A1,CAV1,HMGCS1,PGAM2,PPT1,STAT2,TNFAIP6,RASA1,TMEM8B,CELSR1,OLR1,CKS1B,ARHGDIA,PFKL,DLGAP5,HPRT1,EXOSC5,ID2,GCH1,SLC6A6,ACAT2,ACAA2,PFKP,ATOX1,CDKN1A,IRF1,ADORA2B,APP,BCAM,FURIN,GADD45B,PHYH,SOD1,TLR2,CDKN3,PLAU,CNTFR,PAX4
HBEGF,NFIL3,SQLE,ARHGEF3,NKD1,NCOR2,TLR2,DDB2,KIF2C,RELA,NOTCH3,SLC25A1,STC2,CA12,SCD,MYH9,DNM1L,IL7,NAMPT,MYH10,CX3CL1,CDK6,CEBPB,DKC1,MAP3K7,ALDOA,CDK1,CCNA2,RRP9,GADD45B,CCL2,ECH1,ODC1,ETFB,AK4,PRDX1,FOS,FOS,NR3C1,SERPINA5,TOP1,LEFTY2,RHOB,EPHX2,ACOX1,CD80,DBF4,ID2,GTF3C5,PAX6
KLF6,SERPINE1,HMGCS1,NUMA1,WNT5B,TGFBR1,CSF2,POLR1C,KIF5B,CD44,APH1A,DHCR7,CA12,BCL2,HMGCR,FDPS,SSPN,CMPK2,CD69,EPB41L2,RHCG,ACHE,PLEK,SLC7A5,PPP1CA,PGM1,KIF22,CDC20,NOP56,VEGFA,RIPK2,TMEM97,RETSAT,ACADM,FAM162A,TXNRD1,NINJ1,RHOB,CDKN1B,ITGAV,E2F2,THBS1,CSF1,CAT,IDH1,IL12B,EZH2,IL7R,BARD1,NEUROD1
BIRC3,TIPARP,NSDHL,SPTBN1,CUL1,SMAD7,IL6ST,XPC,TTK,CD69,FZD7,LPL,BCL2,SCARB1,ADRM1,SCD,GLA,CASP8,CCL5,SHROOM2,MAL,THY1,PIM1,DNAJC3,UBE2D3,HK2,AURKA,MCM6,NPM1,RHOB,TNFSF9,BCAR1,CPT2,IDH1,TPI1,G6PD,KLF4,FOSB,MT1E,COL3A1,ADD1,ITGB3,CSF2,SLC27A2,SCP2,TAP1,SLC12A2,YRDC,EGF,ISL1
PLAUR,FOSL2,LSS,KIF2C,MAML1,TGFB1,IL15RA,PCNA,PAFAH1B1,SQSTM1,DTX1,ECH1,SCARB1,SIAH2,ANKH,CLU,SEC24D,CASP1,BTG1,DLG1,LYPD3,SHH,CP,NABP1,IL2RG,GPI,CCNB2,MAD2L1,HSPE1,AREG,CXCL10,PPARD,CD36,DECR1,LDHA,GCLC,SAT1,IL6ST,ANXA2,VCAN,PPP2R5B,A2M,DENND5A,ABCA3,CRAT,BCL3,NEFH,G0S2,TGFB2,NKX2-2
ZFP36,PNRC1,MVD,KIF5B,KAT2A,SMURF2,HMOX1,POLR2I,KIF15,BTG3,FZD5,PPARG,SIAH2,TPBG,GSR,GSN,LMAN1,TXNIP,CDKN1A,RHOF,PKHD1,NRCAM,PDGFB,PREB,TNFRSF1A,SLC2A1,SMC1A,KPNA2,HSPD1,SAT1,PTGER4,IL1R1,ADIPOR2,PHYH,GYS1,PRDX4,PTPRE,TAP1,PRKCA,VAV2,C3,PF4,SLC2A3,PEX11A,EPHX2,ICOSLG,CCNA1,KLF4,CCNA1,PCSK1
ICAM1,EFNA1,TM7SF2,TTK,WNT6,SMURF1,PIM1,SUPT4H1,BIRC5,GADD45B,MAML2,ITSN1,TPBG,SULT2B1,LIFR,SPTAN1,RPS6KA3,IFITM3,IFIT2,ACTN4,ATP6V0A4,NRP1,HSPA5,DNAJB9,MYD88,P4HA1,SMC4,MCM5,MCM4,PMEPA1,SERPINE1,TNFRSF1A,ACAA2,NDUFAB1,ANGPTL4,PRDX6,RNF19B,BMP2,SDC2,NRP1,MGST3,USP11,BMP2,AR,CAT,EGFR,TALDO1,F2RL1,LFNG,SLC2A2
JUN,PFKFB3,EBP,APC,PTCH1,BMPR2,TNFRSF12A,POLD3,CDC27,MCL1,PSENEN,IFNGR1,TGM2,FDFT1,DNAJB9,BIN1,ARCN1,B2M,IRF1,TAOK2,MDGA1,SCG2,XPNPEP1,XBP1,STAT2,ENO1,LMNB1,MCM2,UNG,TNC,RELA,REG1A,ACOX1,ECHS1,PPFIA4,NDUFS2,DRAM1,ALDOA,PPARG,COL5A2,CAT,CASP9,NDRG1,SLC29A1,PEX14,TPD52,ARL4A,CSF2,CELSR2,DCX
EGR3,BTG1,SCD,CEP250,NCOR2,SKIL,CD9,POLR3GL,KIF4A,CDKN1A,WNT5A,ADCY6,SULT2B1,DHCR7,KRT19,NOTCH1,TMED10,MX1,CXCL11,FSCN1,PCSK9,AMOT,LGALS3,SLC1A4,GRB2,AK4,RFC1,NOLC1,DCTPP1,ENO2,CXCL6,FAS,ACADM,CS,DDIT4,NDUFA6,SPHK1,ENO2,DLG1,FSTL1,RIOK3,TIMP1,HK2,IDH2,SLC27A2,ETS1,HSPA4L,BMP2,KRT13,FOXA2
IL1B,VEGFA,PMVK,PAFAH1B1,DKK4,SKI,TGFB1,POLR3C,BRCA2,IL18,WNT2,GPX4,FDFT1,CD9,SLC26A2,PSEN2,COPB2,ISG15,PDE4B,VCL,EPHB4,UNC5C,ANXA5,WFS1,PTPN11,TPI1,TP53,GSPT1,PA2G4,LOX,TNFAIP6,HPRT1,HADH,GRPEL1,IGFBP3,NDUFB4,TSC22D1,HMOX1,CDC42BPA,POSTN,UCP2,TIMP3,P4HA1,FADS1,PEX11A,NCK1,MAP7,GFPT2,KRT15,INS
BCL2A1,CDKN1A,MVK,CDC42EP2,HDAC2,ACVR1,IL4R,GTF2B,PLK1,IRF1,DTX4,CDKN2C,DHCR7,SEMA3B,KRT8,HDAC5,RAB14,OAS1,DDX58,CDH1,DCBLD2,ADGRG1,PLSCR1,SPCS3,E2F1,LDHA,PCNA,BUB3,TBRG4,IGFBP3,INHBA,CDA,IDH1,UQCR10,CITED2,TXN,TAP1,CDKN1C,RASA2,SPP1,AQP3,MMP2,PLIN2,DHCR24,DHRS3,FLNA,NOS1,ANGPTL4,FGFR3,PDX1
PPP1R15A,FOS,LPL,KIF3B,DKK1,SMAD1,STAT1,POLR1D,NEK2,RHOB,HEYL,GPX3,FASN,FABP5,ABHD2,TGFB1,COPB1,IFIT3,TAP1,TJP1,GHRL,GLI1,CLU,EIF4A2,CDK4,GAPDH,POLD3,TFDP1,CBX3,BGN,MYC,RETSAT,ACADS,ACO2,ISG20,PRDX2,BMP2,CHKA,NOTCH2,MSX1,BLVRB,PLAT,ENO3,ACSL1,ELOVL5,ABI1,LPIN1,IGFBP3,BMPR1B,IAPP
ZC3H12A,ACKR3,SC5D,CCDC88A,TCF7,SMAD6,IL1R1,NCBP2,TOP2A,SAT1,SKP1,RETSAT,SEMA3B,TOP2A,FKBP5,WWTR1,LAMP2,IFI44,IFIH1,GTF2F1,LYN,SLIT1,LGMN,SEC31A,FASLG,DDIT4,LIG1,KPNB1,DDX18,TGFBI,TNFRSF9,TGFB2,DECR1,IDH3G,GALK1,MPO,NDRG1,TUBA4A,SMAD7,VTN,ENDOD1,F2,RRAGD,PFKM,IDH2,CCND2,NF2,CXCR4,ACTC1,SRP9
SOD2,IRS2,FADS2,KIF15,WNT1,FURIN,CSF2RB,NELFE,PRC1,CCND1,TCF7L2,SOD1,FLNB,FLNB,ELOVL5,AK1,COPE,IFI35,IL15RA,MAPK14,GAS1,NRP2,DOCK4,GOSR2,CDK2,STC1,RFC2,SRSF1,SRM,DCN,NAMPT,GSR,ME1,SUCLG1,STC1,GCLM,FAM162A,BCL2L11,BMPR1A,PDGFA,CA2,ANXA1,RORA,ISOC1,FADS1,TGFB1,JAM3,GLRX,MYH7,NEUROG3
NR4A2,SLC2A3,HMGCR,BIRC5,NUMB,FKBP1A,STAT3,GTF2F1,ESPL1,TAP1,ARRB1,PDCD4,TIAM1,TIAM1,RRP12,DMD,AP3S1,IRF7,PFKP,PTK2,FLOT2,TLE1,NOTCH4,IFIT1,SFN,VLDLR,RPA3,CDC45,AIMP2,COL5A1,CD69,CD36,GPD2,CYC1,ZNF292,PDLIM1,DDIT4,FURIN,ID1,LRPAP1,ELL2,C3,PIM1,LCK,DHCR24,MAP3K7,GSTM3,MAP3K1,RYR1,FOXO1
IL1A,PGK1,HSD17B7,CNTROB,ADAM17,MAP3K7,OSMR,ERCC5,INCENP,BMP2,LFNG,FABP4,FARP1,FARP1,HOMER2,GPX3,BET1,RSAD2,ISG20,MMP2,AKAP7,L1CAM,PIK3R5,MTHFD2,RPS6KA3,DDIT3,SSRP1,ODC1,NOP16,GPC1,IL7R,ACOX1,ECHS1,SDHB,VLDLR,TXNRD2,HMOX1,BAK1,TJP1,THBD,CCND3,PRSS23,BCL2,AQP9,ACSL1,IL4R,SCG3,AKAP12,CKM,GCG
RELB,PDK1,ANXA13,NF1,DVL2,BMPR1A,IL2RG,LIG1,CENPF,ENO2,DTX2,ADIPOQ,NCOR2,NCOR2,SORD,APP,CLCN3,IFI44L,PIM1,HADH,ATP8B1,PLG,GRB2,SHC1,AKT1,SLC37A4,RFC3,XPO1,GNL3,TGM2,CCL5,IDH1,ACADL,BCKDHA,EXT1,LAMTOR5,S100A4,POLR2H,ITGB3,FGFR1,NCOA4,ACOX2,CDKN1C,CYP27A1,VPS4B,STAT1,PRKAR2A,ETS1,NOS1,SYT13
TRAF1,GBE1,SREBF2,TSC1,PPARD,HIPK2,IFNGR1,ERCC1,KIF20B,BNIP3L,ST3GAL6,LIPE,RAB31,CDH1,KLK3,ERBB3,AP2S1,IFITM1,MT2A,CRAT,SLC34A3,NKX6-1,CDA,ATF4,RIT1,CXCR4,RPA2,TRA2B,MRTO4,TNFRSF12A,IFNGR2,PEMT,CRAT,NDUFA5,PDK3,MSRA,DDIT3,RFC4,MAPK14,KCNJ8,MYL4,TFPI2,TGM2,ALDH9A1,MVP,IL2RG,CAMK4,SEMA3B,CACNG1,SCGN
BTG2,PFKL,PCYT2,CDC27,NCSTN,ENG,TYK2,ERCC4,CENPE,ISG20,,DGAT1,IL17RB,RAB31,KLK2,CD36,CLTC,IFI27,PLSCR1,CLDN7,GSTM3,RTN1,CASP3,HERPUD1,TSC2,GLRX,NME1,CDK4,PES1,FLNA,CDKN1A,APOE,ACO2,MGST3,ANKZF1,MBP,FOXO3,FEN1,YTHDC1,SLCO2A1,SLC6A8,SERPINA1,PLSCR1,SERPINA6,ISOC1,IFNGR1,PSMG1,NIN,CHRNG,STXBP1
DUSP1,ALDOA,ACSS2,CNTRL,HDAC5,PPM1A,IL13RA1,POLD4,ABL1,HMOX1,,CPT2,CANT1,IL17RB,ACSL3,SORBS1,AP2M1,OASL,RAPGEF6,CALB2,SLC2A4,CRMP1,CASP9,PARN,CLTC,HSPA5,POLE4,HNRNPD,TFB2M,DST,IL18,ACO2,IDH3G,IMMT,UGP2,SRXN1,TRIB3,AMD1,ATRX,PGLYRP1,PC,HMGCS2,ALCAM,GNMT,YWHAH,PF4,VDAC3,DOCK2,ATP6V1B1,CHGA
MAP3K8,ENO2,ADH4,TUBGCP5,CCND2,XIAP,IL10RB,NELFB,KATNA1,CAV1,,CD36,SLC7A5,HPRT1,PIAS1,CRAT,RER1,EIF2AK2,IL4R,MAPK13,RTN4RL1,CDK5R1,CASP7,EXOSC4,AP2M1,SLC6A6,POLD1,SYNCRIP,IPO4,NOTCH2,IRF1,FAH,HIBCH,IDH3A,ALDOB,OXSR1,JAG2,HNRNPU,SLC7A1,APOH,LAMP2,SIRT2,TIAM1,HACL1,HRAS,CXCL13,GAD1,ADAM17,MX1,PCSK2
ETS2,PGM1,ETHE1,KIF4A,FRAT1,CDH1,IL1R2,RFC2,TPX2,BGN,,GPAM,PMAIP1,CDC20,CAMKK2,ITGA7,ARF1,SP110,STAT1,LAMC2,NCOA6,LDB1,CASP4,HSP90B1,ARF1,TES,POLA2,RAD23B,NDUFAF4,DKK1,OLR1,ALDH2,SUCLG1,DLD,STC2,GLRX2,NOTCH1,CASP3,PDGFRB,PRG2,CLCN3,CFD,MYO1E,CROT,PRDX1,FAS,HSPA2,CCND2,RSAD2,INSM1
F3,NDRG1,ECH1,MAPRE1,CSNK1E,ID1,IL3RA,ELL,CDK1,CDKN1B,,ADIPOR2,KRT18,PLK4,NKX3-1,COL15A1,OCRL,DDX60,CSF2RB,MDK,SULF2,,TIMP1,EXOSC9,MAPK1,CYP51A1,DUT,SNRPD1,NOC4L,FZD8,CXCL11,DDT,LTC4S,UQCRC1,GAPDHS,HMOX2,CCND2,BID,TGFBR3,,BPGM,SPARC,PTCH1,ABCD2,RDH11,SOCS1,PARP2,ENG,IFI44L,SST
SDC4,HK2,CBS,FGD6,FZD8,LEFTY2,IFNAR1,TAF10,KIF22,DDIT3,,ACAA2,RARA,CDC6,TMPRSS2,SSPN,ICA1,UBE2L6,STAT3,INSIG1,GATA3,,TIMP2,EXOSC1,RIPK1,IDI1,NUDT21,SMARCC1,WDR43,TGFB1,CSF1,SLC1A5,REEP6,DLAT,CHST2,FES,TP53,GPX3,MGMT,,ICAM4,LAMP2,CCND2,NPC1,MSH2,IL2RA,HBZ,IL2RG,CLDN8,ELP4
EGR1,ALDOC,GUSB,BRCA2,TP53,TRIM33,TNFRSF1A,RRM2B,AURKA,CASP6,,ETFB,TOB1,GINS2,APPBP2,HSPB8,MON2,USP18,MYD88,ACTN1,AFAP1L2,,CASP1,EXOSC5,NOD1,DHCR7,CDC20,G3BP1,RABEPK,THBS1,GPR183,DHRS7,DLD,MRPL15,GPC3,SCAF4,TGFB1,CDK2,ERBB2,,CTSB,C1S,BMPR2,HSD17B11,CTPS1,IL12RB1,SHE,CSF2RA,SLC30A3,PAK3
IL6,GPI,FASN,PLK1,SKP2,RAB31,MYD88,SUPT5H,FBXO5,DCN,,ACOX1,HSPB8,STIL,CENPN,MYLK,ARFGEF2,PSMB8,IRF9,ACTA1,CD160,,PLAT,ASNS,PFN1,SQLE,CKS2,HNRNPU,NIP7,ITGB3,PTPRE,NMT1,SDHC,SDHC,SAP30,CDKN2D,ACVR1B,PPT1,MGLL,,USP15,SERPING1,FURIN,MLYCD,CNBP,CCR1,IDE,TNFRSF1B,GAMT,G6PC2
TNF,MXI1,LGALS3,RASA1,HEY2,TJP1,ACVR1B,RPA3,NUSAP1,EBP,,ACADM,GREB1,SLC7A5,BMPR1B,TPD52L1,NAPG,BST2,PTPN1,ACTC1,SLC22A12,,PSEN1,ARFGAP1,PTEN,HMGCS1,MKI67,SRSF2,WDR74,FAS,TLR2,CAT,MDH2,AIFM1,RRAGD,MGST1,BAK1,DNAJA1,PEX14,,ASNS,CFB,HIPK2,ALDH1A1,CADM1,CXCL9,PDHA2,CBL,LYPD3,
KDM6B,SLC2A1,ATF5,NEK2,HEY1,SLC20A1,CSF3R,SNAPC5,RASAL2,SC5D,,HADH,SLC9A3R1,PDCD4,MAF,ADCY9,TMX1,LGALS3BP,PTPN2,ACTN2,NTNG1,,F2,SRPRB,PIK3R3,TM7SF2,AURKB,CDK2,BYSL,PDGFRB,LDLR,POR,MGLL,MDH2,EGFR,ABCC1,FAS,DGAT1,FHL2,,TFRC,CFH,IL4R,HSD17B4,ALDH9A1,IL7,TSSK2,SATB1,CD40LG,
NFKB1,P4HA1,ANXA5,WASF1,,CDK9,ITGB3,SSRP1,CCNB2,LGALS3,,IDH1,MYB,CCNA1,FADS1,REEP1,SCAMP1,ADAR,FAS,SPEG,SCUBE1,,CD36,TSPYL2,PLCG1,EBP,MCM6,ETF1,NOP2,TIMP1,PDE4B,IGFBP4,CIDEA,COX7B,MIF,FTL,SOCS1,TST,GJA1,,SLC7A11,C1R,IFNGR1,ACSL5,SERPINA6,CCL7,TNP1,PLAT,GP1BA,
LIF,ADM,TP53INP1,TOP2A,,ID3,REG1A,RFC3,SMC1A,CLU,,SORBS1,ANXA9,ETFB,SPCS3,BAG1,SH3GL2,GBP2,STAT2,ACTN3,,,ME1,NFYA,HRAS,SCD,MCM3,NDUFAB1,PPAN,TIMP3,SPHK1,PTGES,SLC22A5,COX8A,DPYSL4,STK25,DDB2,GRPEL1,DLC1,,GMPS,FBN1,IL1R2,GCLM,ABCD2,LTB,ZPBP,EREG,FGF22,
PTX3,P4HA2,CHKA,TRIO,,NOG,A2M,RPA2,NDC80,TNFRSF12A,,ACADS,IGFBP4,TST,INSIG1,SVIL,RAB2A,PSMB9,CD38,KCNH2,,,GPD2,CALR,LCK,SC5D,PTTG1,CYC1,RCL1,LUM,CCRL2,PAPSS2,ELOVL5,PRDX3,KDELR3,EGLN2,XPC,SULT1A1,ADD3,,GCLC,ITGA2,IL3RA,RXRA,ACAA1,NME1,DPEP3,ANKH,IGFBP2,
FOSL1,ENO1,GSTM2,ARHGEF11,,ARID4B,CSF2RA,TAF12,SMC4,CTNNB1,,UCK1,SYBU,TOB1,NGLY1,ABLIM1,COG2,HERC6,SOCS1,AKT2,,,C3,KHSRP,RAF1,FADS2,MAD2L1,PRDX3,PPRC1,MMP2,ATP2B1,BLVRB,CA2,NDUFS3,ADORA2B,SBNO2,PCNA,RET,IGF1R,,TCEA1,ADAM9,TNFRSF1B,ATXN1,ACOT8,HCLS1,ADAM2,EMP1,MEFV,
NR4A1,PFKP,ACAT2,KATNB1,,PPP1CA,IRF9,NELFCD,LMNB1,TOP2A,,SCP2,NPY1R,PTGER3,UBE2J1,NAV2,VAMP3,SAMD9,CXCL9,ITGB1,,,RASGRP1,EXOSC2,HSP90B1,HMGCR,HMMR,XRCC6,TCOF1,TGFBR3,IL12B,ELOVL5,UGDH,UQCRQ,GPC4,HHEX,ERCC5,RASGRP1,PRKAR2B,,HMBS,BMP1,IL18R1,SLC22A18,HMGCL,HIF1A,ACTL7B,SPARCL1,IDUA,
JAG1,AK4,AVPR1A,PRC1,,WWTR1,PDGFC,TAF13,BUB1,GSN,,DECR1,PDZK1,HSPB8,ELK4,TNNC1,ERGIC3,RTP4,IL7,SORBS3,,,JAK2,NOP14,CALR,TRIB3,KPNA2,IFRD1,UTP20,WNT5A,ABCA1,CA2,HMGCS2,COX6A1,PGM2,,POM121,FKBP4,ATP2B4,,HDGF,VWF,SOCS1,KLF1,HSD17B11,FASLG,TUBA3C,RETN,KLK8,
